기관구분,등록기관,등록번호,유형,단체명,대표자,소재지,주된사업,연락처,등록일,주관과
중앙행정기관,공정거래위원회,2,사단법인,한국소비자단체협의회,문미란,"서울특별시 종로구 세종대로23길 47, 5층 524호, 525호(당주동, 새문안 광화문빌딩)",소비자보호시책 조사 연구 등,02-774-4050,2000-05-25,소비자안전교육과
중앙행정기관,공정거래위원회,3,사단법인,(사)한국소비자교육원,전계순,"서울특별시 서초구 양재천로 143-7, 2층 202호(양재동, 로얄빌딩)",소비자 피해구제와 소비자보호활동 및 소비자교육,02-579-3331,2000-05-25,소비자정책과
중앙행정기관,공정거래위원회,4,사단법인,녹색소비자연대전국협의회,"유미화, 김재철",서울특별시 용산구 효창원로69길 14 (효창동),"소비자피해구제사업, 환경보전사업,
공정거래확립 및 독과점방지사업등",02-3273-7117,2002-04-23,소비자정책과
중앙행정기관,공정거래위원회,6,사단법인,소비자시민모임,문미란,"서울특별시 종로구 새문안로 42, 603호(신문로2가)","소비자문제 조사 및 연구
사업, 피해구제 사업 등",02-739-5441,2004-02-20,소비자정책과
중앙행정기관,공정거래위원회,7,,한국소비자진흥원,전행준,"서울특별시 서대문구 서소문로37, 1층 102-1호(합동, 충정로대우디오빌)","소비자문제 조사 및 연구사업,  소비자정보제공, 소비자 상담",02-426-2323,2011-07-22,소비자정책과
중앙행정기관,공정거래위원회,2022-1,사단법인,(사)소비자와함께,"박명희, 정길호, 윤영미, 황다연","서울특별시 종로구 새문안로5가길 28, 광화문플래티넘 1314호","ㅇ 공정한 시장환경과 시장의 신뢰형성을 위한 정책에 대한 연구와 토론
ㅇ 소비자들의 소비자 문제 해결을 위한 사업
ㅇ 소비자 문제발생의 원인 및 시장의 신뢰를 훼손시키는 기업의 불공정행위 및 기만행위 감시
ㅇ 소비자의 권리와 의무에 대한 소비자교육
ㅇ 소비에 대한 가치 정립과 나눔유대를 위한 공동체 사업
ㅇ 기타 국내외 연대 활동과 필요한 사업",02-2272-3414,2022-01-18,소비자정책과
중앙행정기관,공정거래위원회,제2022-2호,사단법인,(사)미래소비자행동,양세정,"서울시 강동구 올림픽로 814,502호","ㅇ 소비자교육
ㅇ 소비자상담·정보제공
ㅇ 소비자문제 조사연구
ㅇ 소비자 물품거래 조건·방법 등에 관한 조사분석
ㅇ 국가 및 지방자치단체의 소비자 시책에 대한 건의
ㅇ 환경문제 관련 활동
ㅇ 기타 목적 달성에 필요한 사업",02-706-1372,2022-05-16,소비자안전교육과
중앙행정기관,국민권익위원회,제2021-1호,사단법인,(사)공직공익비리신고 전국시민운동연합,나유인,"전라북도 전주시 덕진구 오공로 144, 4층(만석동, 중앙빌딩)","- 국내외 참여 단체간 부패 관련 교류, 협력 연대 활동
- 부패방지 교육 캠페인과 인터넷, 월간 소식지 등 홍보 관련 사업 등",,2021-04-19,법무담당관
중앙행정기관,금융위원회,2008-1,,신용사회만들기시민연합,권상오외1인,"인천광역시 계양구 오조산로 1, 6층 (작전동)","각종 신용회복 지원안내
직업교육, 직업알선 및 창업지원",032-361-1004,2008-05-08,서민금융과
중앙행정기관,금융위원회,5,사단법인,한국소액주주 연구회,권성만,"서울시 강동구 상암로20(암사동,한일빌딩B-1호)","소액주주운동 분야의 연구, 학술회의, 강연회, 토론회, 포럼, 세미나",,2015-09-02,자본시장과
중앙행정기관,금융위원회,6,,KRX국민행복재단,정찬우,부산광역시 남구 문현금융로40 59층,"금융취약계층 금융교육사업, 인재육성 장학사업 소외계층 사회복지사업, 저개발국 지원사업 등",02-3774-8820,2015-12-21,자본시장과
중앙행정기관,금융위원회,7(2016년),,금융소비자네트워크,"한창희, 강정화, 조윤미",서울특별시 용산구 독서당로 20길 1-7,"금융소비자 관련 조사연구 및 정책개발, 금융소비자 교육 및 지원사업
금융소비자보호를 위한 강연 및 캠페인
금융소비자 관련 자료 발간 및 출판
국내 및 국제단체와 협력 및 교류 등",,2016-04-18,금융소비자과
중앙행정기관,국가보훈부,2,사단법인,사단법인 5.18민주화운동 부상자회,박갑술,"광주광역시 서구 내방로 152, 5.18기념문화관 (쌍촌동)",".5.18민주화운동의 정신계승을위한 선양사업
.회원의 복리증진과 친목도모를 위한 복지사업",062-383-1518,2005-04-11,단체협력과
중앙행정기관,국가보훈부,6,사단법인,도산안창호선생기념사업회,김재실,서울특별시 강남구 도산대로45길 20 (신사동),"○ 도산의 유적 발굴 및 유품의 수집 보관
○ 도산 정신과 사상의 연구 보급
○ 기념시설 및 교육시설의 건조 및 운영
○ 육영․장학․출판사업과 청소년 교육프로그램 개발 및 운영",541-1800,2009-03-06,기념사업과
중앙행정기관,국가보훈부,7,사단법인,장준하기념사업회,유광언,"서울특별시 마포구 양화로 56, 동양한강트레벨 513호 (서교동)","○ 장준하 장정 6천리사업
○ 장준하와 독립운동관련 심포지엄, 학술대회 개최
○ 장준하기념관 건립 및 공원 조성사업 등",02-722-0969,2010-01-28,기념사업과
중앙행정기관,국가보훈부,8,,손정도기념사업회,박민수,"서울특별시 종로구 대학로 19, 한국기독교회관 914호","○손정도의 시대적 배경연구
○손정도와 상해 임시정부 및 대한민국 독립을 연구
○손정도의 애국애족정신을 전 국민들에게 교육 및 홍보",070-4234-5502,2012-02-27,기념사업과
중앙행정기관,국가보훈부,9,,신흥무관학교기념사업회,윤경로,"서울특별시 동대문구 왕산로 283, 금은빌딩 3층 (청량리동)","○ 신흥무관학교 관련 인물, 유적 등에 관한 조사 연구
○ 신흥무관학교 관련 학술발표회 등 학술홍보사업과 교육문화 사업",02-969-0226,2012-06-27,기념사업과
중앙행정기관,국가보훈부,11,사단법인,건국대통령이승만박사기념사업회,신철식,"서울특별시 종로구 이화장1길 32, 이화장내 (이화동)","○ 이승만 박사의 독립정신과 건국이념의 연구와 선양
○ 항일독립운동사와 대한민국 건국사 그리고 6.25전쟁사    정리, 간행
○ 이승만 박사의 유적보존과 유품의 수집 및 보관
○ 이승만 박사의 건국사적지인 이화장의 보전    관리를 위한 지원사업
○ 이승만 박사의 추모행사와 학술강연회 개최 등",02-741-0815,2013-04-02,기념사업과
중앙행정기관,국가보훈부,13,,한국여성독립운동연구소,심옥주,"부산시 금정구 학산로 21번길 3, 2층(남산동)","○여성독립운동가에 대한 학술연구 활동과 연구성과 발표
○독립운동연구서 발간 및 한국 근현대사 연구와 관련한 자료의 발간
○그 외 독립운동 및 여성독립운동 연구에 기여할 수 있는 활동 등",051-514-6029,2015-11-20,기념사업과
중앙행정기관,국가보훈부,14,,한국미래문제연구원,안주섭,"서울시 서초구 효령로 230(서초동), 승정빌딩 205호","○ 보훈정책 현안 및 미래 보훈선양 정책과제의 연구
○ 사회발전에 따른 선양정책의 방향 및 선양정책 적응성 향상 방안 연구
○ 대국민 나라사랑 함양, 선양기념 및 현충시설 운용 활성화를 위한 연구방향 제시
○ 국제·영토사 연구, 공훈 등 보훈선양정책의 기초분야 연구",02-6406-0877,2016-11-29,기념사업과
중앙행정기관,국가보훈부,15,,한국보훈복지정책연구원,이명호,"경기도 고양시 덕양구 내유로 230, 국제법률경영대학원 606호","ㅇ 보훈복지정책 연구 개발
ㅇ 보훈복지정책 세미나 개최
ㅇ 보훈 관련 자료집, 간행물의 발간 및 홍보
ㅇ 보훈복지 멘토 기자단 운영
ㅇ 보훈복지를 위한 국제 교류",031-981-3540,2019-01-07,복지정책과
중앙행정기관,국가보훈부,16,,무후광복군기념사업회,채수창,"서울특별시 강북구 도봉로 90,4층","ㅇ 무후광복군 추모제 거행
ㅇ 독립정신 계승을 위한 홍보·교육 및 행사
ㅇ 무후광복군 묘역 관리",02-981-8088,2022-01-11,기념사업과
중앙행정기관,국가보훈부,제17호,,대한민국현충사업회,고대근,충북 청주시 흥덕구 오송읍 만수리 530,"현충시설 정화 등 관리, 현충시설 실태조사 탐방 및 참배, 현충시설 관련 홍보 및 보훈의식 고취 교육 등",,2024-04-02,현충시설관리과
중앙행정기관,국가보훈부,18,,나라사랑디딤돌,서승현,"서울시 종로구 대학로 19, 401B호(연지동, 한국기독교 회관)","보훈관련 정책개발, 학술활동(학술대회, 학술지), 보훈발전의 목적달성을 위한 사업 참여 등",031-220-2296,2024-04-15,보훈정책총괄과
중앙행정기관,해양수산부,"(구)해수부1호
(제10호)",사단법인,(사)한국해양환경안전협회,김창원,서울특별시 영등포구 선유로 52길 11 옥토끼빌딩 5층,"해양수중 및 수변의 각종
청소, 정화 등",02-3482-1181,2000-05-09,해양환경정책과
중앙행정기관,해양수산부,"(구)해수부2호
(제12호)",사단법인,(사)한국해양소년단연맹,정호섭,서울특별시 관악구 남부순환로 1935 (봉천동),"해양정신에 입각한
청소년의 건전육성 등",02-886-8522,2000-05-15,해양레저과
중앙행정기관,해양수산부,"(구)수산청53호
(구)농림부532호",사단법인,(사)한국수산업경영인중앙연합회,김재만,서울특별시 동작구 상도동 345-8 한수연회관,회원상호간 정보교환 및 기술교류,02)821-1981,2000-05-25,소득복지과
중앙행정기관,해양수산부,"(-)
(제9호)",사단법인,(사)바다살리기국민운동본부,조정제,"서울특별시 중구 을지로 79, 장교빌딩 지하 1층 3-2호(을지로2가)",해양환경 보존 및 개선을 위한 정책개발,02-752-9641,2000-11-14,해양환경정책과
중앙행정기관,해양수산부,(구)해수부8호,사단법인,(사)해양보호 국민연대,서영수,"서울특별시 은평구 연서로 319, 금성빌딩 3층 (불광동)","오,폐수 방류 및 
무단 해상투기 감시",02-356-4353,2001-08-18,해양환경정책과
중앙행정기관,해양수산부,"(구)해수부9호
(제10호)",사단법인,(사)대한민국해양연맹,최윤희,"서울특별시 중구 다동길5(무교동, 광일빌딩 8층)","해양사상 고취를 위한 사업, 해양력 발전을 위한 연구·홍보·장학사업, 독도 등 해양영토에 관한 교육·문화·홍보사업, 국가발전과 사회공익 증진사업, 해양인력자원의 복지사업, 그 밖에 해양관련 사업",02-844-3889,2002-01-07,해양정책과
중앙행정기관,해양수산부,"(구)해수부10호
(제16호)",,독도수호대,김점구,서울특별시 종로구 난계로 29길 14(숭인동) 미광빌딩 203호,"○ 독도 영유권 공고화를 위한 국내외 홍보사업
○ 독도 및 동해의 잘못된 정보 바로잡기
○ 독도에 대한 올바른 역사인식과 역사관 수립
○ 독도 홍보를 위한 학술 대회 개최 및 간행물 발간사업",02-2253-5734,2003-03-27,해양영토과
중앙행정기관,해양수산부,"(구)해수부12호
(15호)",사단법인,(사)한국수중환경안전협회,홍성훈,서울특별시 서초구 강남대로25길 65(양재동),"◦ 수중환경오염 감시활동 및 환경보전 캠페인사업
 ◦ 해양양식사업의 생산성향상 연구 및 조사사업
 ◦ 수상레저사업 및 해양레저스포츠 관련사업
 ◦ 해수욕장 안전관리 및 수상인명구조 용역사업
 ◦ 수상인명구조 교육 및 스쿠버지도자 육성사업
 ◦ 수중체험활동 안전 교육 및 지도자 양성사업
 ◦ 수상 및 수중 안전시설사업 및 관리운영 부대사업
 ◦ 수중문화재 지표조사 및 발굴사업 등",02-477-300002-485-4804,2004-05-08,해양환경정책과
중앙행정기관,해양수산부,(구)국토부9호,사단법인,(사)지구환경해양보호연대,김정대,"서울특별시 중랑구 중랑역로 124, 삼익상가 208호","해양오염실태조사 
해양불법 쓰레기 무단투기 감시활동",02-434-6857,2006-02-14,해양환경정책과
중앙행정기관,해양수산부,(구)해수부16호,,Korea 독도녹색운동연합,박순종,강원도 강릉시 주문진읍 연주로 487-26,독도가 대한민국 영토임을 대내외 홍보,033-662-1417,2007-12-31,해양영토과
중앙행정기관,해양수산부,(구)해수부17호,,독도유인화국민운동본부,김해일,"강원도 춘천시 외솔길 16, 독도아카데미 5층 (석사동)",독도의 재산적 학술적가치 발굴 계승,,2007-12-31,해양영토과
중앙행정기관,해양수산부,"15
(해양수산부)",,한국수중사진영상협회,이원희,"경기도 성남시 분당구 불정로420번길 17-1, 2층 (서현동)","수중생태계보호,보존사진촬영 대회 개최
수중환경오염감시",,2007-12-31,행정법무팀
중앙행정기관,해양수산부,(구)국토부2호,,해양조사발전협의회,윤창법,"경기도 안양시 만안구 만안로 284, 201호",해양조사 업무 실태와 중요성 홍보 및 관련 정책사항 건의·자문,02-2672-4608,2009-05-06,해양영토과
중앙행정기관,해양수산부,"(구)국토부3호
(제18호)",,나라(독도)살리기국민운동본부,문제익,"서울특별시 동대문구 망우로21길 45, 202호(휘경동)","독거노인,노숙자,미혼모,소년소녀가장 돕기, 독도사랑 연주회 개최",02-457-5901,2009-05-22,해양영토과
중앙행정기관,해양수산부,"(구)국토부6호,
19호",,독도최종덕기념사업회,최은채,"경상북도 울릉군 울릉읍 도동1길 6-36, 2층",독도주민생활 자료수집 및 홍보 등,070-7553-8118,2010-01-08,해양영토과
중앙행정기관,해양수산부,"(구)국토부8호
(제7호)",사단법인,(사)한국물사랑연합,김금상,강원특별자치도 춘천시 신북읍 신북로 252,"ㅇ 해양 및 수자원환경과 관련한 각종 자연보호 및 해양생태계 회복운동을 위한 감시 및 정화활동, 전시, 체험 및 홍보활동
ㅇ 수질 회복을 위한 폐기물 처리 사업 및 조사 연구
ㅇ 수질보호 및 회복을 위한 각종행사 개최, 지원 및 간행물 발간
ㅇ 물에 관련된 학술, 조사, 연구, 봉사활동 및 문화사업
ㅇ 해수 관리 학술세미나
ㅇ 수질회복을 위한 국내외 단체와의 교류 및 협력
ㅇ 기타 본 법인의 목적 달성에 필요한 부대사업",054-772-1120,2010-03-16,해양환경정책과
중앙행정기관,해양수산부,"(구)농식품부540호
(제17호)",사단법인,(사)한국농수산환경.안전협회,이상근,서울특별시 광진구 중곡동94-11 비02,"농어촌, 바다 환경 재해 예방 및 방․구제 지원사업 및 연안수역 보호관리 사업, 친환경농수산업을 위한 교육 및 훈련 관련 사업 등",02-3432-1182,2010-11-23,양식산업과
중앙행정기관,해양수산부,해수부6호,사단법인,(사)한국잠수산업연구원,정용현,"서울특별시 관악구 남부순환로 1793, 백광빌딩 10층(1003호)","- 수중산업 성장 동력원 개발
- 잠수산업 학술연구, 대국민 바다사랑 운동
- 해양안보와 해양재난 홍보사업 등",02-875-0101,2013-12-31,해양정책과
중앙행정기관,해양수산부,"제8호
(제14호)",사단법인,(사)한국해양환경보호중앙회,김용모,부산광역시 중구 충장대로 9번길 19 (영신빌딩 6층),"ㅇ 해양오염방지를 위한 해양환경보호지도자 양성교육
  ㅇ 해양침적폐기물수거 및  해양생태계 개선활동
  ㅇ 해양환경보호를 위한 봉사활동
  ㅇ 해양환경감시 및 계몽활동
  ㅇ 각종 해양사고 예방 및 인명구조 활동
  ㅇ 국제해양환경단체와 교류 및 정보교환 활동",051-467-9500,2014-01-22,해양환경정책과
중앙행정기관,해양수산부,제11호,,해양수산교육원,김호,전남 광양시 옥곡면 옥진로 675-1(3층),"수산자원 보호와 해양환경 보호, 교육을 통한 전문적 지식 함양 등에 목적을 둠",061-772-0006,2014-11-07,지도교섭과
중앙행정기관,해양수산부,22,사단법인,사단법인 대한민국 독도,김삼곤,전북 전주시 완산구 동문길 64,"독도 선착장 음악회, 독도탐방행사, 독도의 날 기념식 등",,2018-02-13,해양영토과
중앙행정기관,해양수산부,24,,고스트다이빙코리아,박승규,"서울특별시 강동구 성내로 6길 32, 301호",- 수중·해안 쓰레기 수거 및 조사·홍보 등,,2020-12-18,해양보전과
중앙행정기관,해양수산부,제30호,,대한민국독도사랑중앙회,김종국,"대구광역시 달서구 도원남로40, 산새마을 711동 805호","독도방문·홍보(독도알리기, 캠페인 등) 및 봉사활동 등",,2021-11-19,해양영토과
중앙행정기관,해양수산부,제31호,,한반도 환경·해양 복지위원회,김만식,전라북도 전주시 덕진구 우이동2가 866-6 1동 705호,"해안 정화활동, 환경 캠페인, 순찰 및 감시활동 등",,2022-06-13,해앙보전과
중앙행정기관,해양수산부,제32호,,(사)연안환경보전연합회,임영태,전라남도 완도군 완도읍 장보고대로 339(완도항 여객선터미널) 2층,"ㅇ 연안생태계 보존 및 복원사업
ㅇ 연안 쓰레기 생태조사 및 정화수거 활동
ㅇ 연안 오염원의 원인조사 활동 등",,2023-08-08,해양환경정책과
중앙행정기관,해양수산부,제34호,,(사)대한민국독도협회,전일재,"경기도 김포시 김포한강9로95, 303호(구래동, 센타프라자)",독도 등 해양영토 주권강화를 위한 홍보사업과 독도교육 및 독도 탐방 사업,,2023-12-06,해양영토과
중앙행정기관,해양수산부,제35호,,독도사수연합회,이상훈,"부산광역시 동래구 충렬대로 108번길 81, 9호",국민과 함께 노력하는 독도 지키기 사업 및 거리질서 캠페인,,2025-07-16,해양영토과
중앙행정기관,해양수산부,제36호,,전국어민총연맹,김영철,"전남 여수시 성산4길 5-2, 경남 통영시 동호안길 33 3층",수산자원의 효율적 보전과 이용 및 어민의 권익보호와 소득보호를 통한 어민의 삶의 질 향상,,2025-09-24,어업정책과
중앙행정기관,해양수산부,37,,독도해병 지킴이 본부,박영춘,"부산광역시 부산진구 부전로 43, 서면 베르빌 오피스 2311호",겨레사랑 나라사랑 독도사랑을 기본 목적으로 국토 수호를 위한 교육 및 홍보 활동과 봉사활동,,2025-12-30,해양영토과
중앙행정기관,국세청,1,사단법인,(사)국세동우회 자원봉사단,김남문,서울특별시 영등포구 여의공원로 115 세우빌딩 13층,"무료 세무상담, 기초생활질서 확립, 어려운 이웃돕기 등",02)783-8536,2013-12-11,세정홍보과
중앙행정기관,국가데이터처,1,사단법인,한국통계학회,김철응,"서울특별시 강남구 테헤란로7길 22, 과학기술회관 신관 709호 (역삼동)","통계연구, 통계의 이론개발 및 보급, 학술활동",02-567-2859,2000-05-09,"통계
정책과"
중앙행정기관,통일부,1,사단법인,사단법인 민족통일협의회,도재영,"서울특별시 송파구 위례광장로 188, 318호","통일분야 민간남북대화추진사업, 
민간주도세력 육성 등",02-476-8191,2000-05-16,정책협력과
중앙행정기관,통일부,10,사단법인,한민족통일여성협의회,안준희,서울특별시 서초구 서운로 13 중앙로얄 오피스텔 1106호,"통일분야 여성역량배양, 여성홍보 조사.연구 등",02-2245-2196,2000-05-16,정책협력과
중앙행정기관,통일부,11,사단법인,평화문제연구소,신영석,"서울특별시 은평구 응암로 373, 역촌빌딩 5층 (녹번동)","통일분야 연구, 교육, 국내외 홍보, 북한관련 
정보화사업 등",02-358-0612,2000-05-16,정책협력과
중앙행정기관,통일부,12,사단법인,조국평화통일불교협회,신광수,서울특별시 성북구 성북로4길 27-18 (성북동),"북한동포돕기, 남북교류 및 협력",02-735-5558,2000-05-16,인도지원과
중앙행정기관,통일부,13,사단법인,세계평화청년학생연합,이현영,"서울시 용산구 청파로 47나길 28, 1층",남북통일운동,02-717-5607,2000-05-16,사회문화교류과
중앙행정기관,통일부,14,사단법인,어린이어깨동무,권근술,서울특별시 종로구 성균관로 10길 5,"통일교육 사업, 남북어린이 문화교류 
조사사업 등",02-743-7941,2000-05-16,인도지원과
중앙행정기관,통일부,15,사단법인,좋은벗들,정석우,서울특별시 서초구 효령로51길 42(서초동),북한동포돕기 및 북한난민 지원활동 등,02-587-8996,2000-05-16,이산가족과
중앙행정기관,통일부,16,사단법인,남북경제협력발전협의회,최현열,"서울시 강남구 논현로 134-13, 201호",대북지원사업(대북한씨감자 기술시험재배남북협력사업),02-2057-0211,2000-05-16,인도지원과
중앙행정기관,통일부,18,사단법인,북한인권시민연합,김석우,"서울특별시 서대문구 충정로 53, 1801호(충정로 2가)",북한인권상황 개선 및 탈북자 지원,02-723-1672,2000-05-16,이산가족과
중앙행정기관,통일부,2,재단법인,한국통일진흥원,김학옥,"서울특별시 서초구 강남대로25길 37, 양촌빌딩 3층 (양재동)","통일분야연구, 대민홍보, 
연수원운영, 장학사업 등",02-571-1988,2000-05-16,정책협력과
중앙행정기관,통일부,3,사단법인,(사)미래약속포럼,윤진식,"서울특별시 종로구 삼일대로30길 21, 1015호",민간차원에서 통일 경제문제 연구 등 평화통일 촉진 활동,070-7122-9575,2000-05-16,규제개혁
중앙행정기관,통일부,4,사단법인,통일맞이,김희선,"서울 마포구 마포대로1길 45, 401호","통일분야 조사연구, 교육사업, 홍보, 출판사업 등",02-392-3615,2000-05-16,창조행정담당관
중앙행정기관,통일부,5,사단법인,(사)선진통일건국연합,최용권,"서울특별시 종로구 수표로28길 9, 4층","통일분야 연구, 홍보, 민간교류협력, 출판 등",02-744-2007,2000-05-16,정책협력과
중앙행정기관,통일부,6,사단법인,한민족운동지도자연합회,김형주,"서울특별시 영등포구 국회대로74길 19, 동우국제빌딩 502호 (여의도동)","남북문화교류, 국내외 한민족운동 단체교류 홍보 등",02-783-1136,2000-05-16,정책협력과
중앙행정기관,통일부,7,사단법인,민족화해협력범국민협의회,김삼열,"서울특별시 마포구 잔다리로 68, 3층","남북기본합의서 실천사업, 통일문제 국민계도 등",02-761-1213,2000-05-16,정책협력과
중앙행정기관,통일부,8,사단법인,한국청년지도자연합회,이갑준,서울특별시 성북구 솔샘로17길 8 (정릉동),"통일분야 국민정신계도, 지도자교육, 연수, 홍보물 출판",02-3272-0714,2000-05-16,창조행정담당관
중앙행정기관,통일부,19,,흥사단민족통일운동본부,양영두,"서울특별시 종로구 대학로 122, 흥사단회관 5층 (동숭동)",통일분야 연구정책사업 통일실천운동전개 등,02-3673-3825,2000-05-22,창조행정담당관
중앙행정기관,통일부,21,,남북청소년교류평화연대,설상영,"서울시 관악구 관천대로 939, 1416호9르메이에르강남타운 2차)","1. 남북 및 국제청소년 교류 활동
2. 통일관련 활동을 위한 지원사업
3. 남북통일 기반조성을 위한 국내 외 강연 세미나, 포럼 개최
4. 기타 부대사업",02-458-8963,2000-05-22,정세분석총괄과
중앙행정기관,통일부,22,사단법인,남북나눔,화종부,"서울특별시 종로구 대학로 19, 한국기독교회관 703호 (연지동)",인도적인 대북지원 사업,02-745-5763,2000-05-29,인도지원과
중앙행정기관,통일부,24,사단법인,겨레하나되기운동연합,송낙환,"서울특별시 관악구 남부순환로 1808, 센추리타워 707호 (봉천동)",남북이산가족교류 주선 및 통일운동,02-888-9797,2001-03-26,이산가족과
중앙행정기관,통일부,25,사단법인,우리민족서로돕기운동,최완규,서울시 마포구 마포대로4나길 46,한민족공동체 형성과 발전에 관한 지원사업,02-734-7070,2001-03-30,인도지원과
중앙행정기관,통일부,28,사단법인,남북통일운동국민연합,황선조,"서울특별시 용산구 청파로 319, 5층",남북통일 실현을 위한 전국민 교육 및 계몽활동 등,02-704-2013,2002-03-04,창조행정담당관
중앙행정기관,통일부,30,사단법인,어린이의약품지원본부,김미정,"서울 종로구 율곡로17길14, 엘림빌딩 3층(이화동)",북녘어린이 의약품 지원 및 남북보건의료인 교류협력증진,02-744-9756,2002-03-21,인도지원과
중앙행정기관,통일부,31,사단법인,통일교육문화원,이성구,서울특별시 서초구 강남대로 10길 16 2층,현실과 문화를 통한 생활속의 통일교육 실시,02-577-6372,2002-03-28,정책협력과
중앙행정기관,통일부,32,사단법인,남북민간교류협의회,이한용,"서울특별시 마포구 마포대로 63-8, 삼창프라자 1426호(도화동)","남북민간교류사업, 북한동포 지원사업 등",02-732-8433,2003-04-23,인도지원과
중앙행정기관,통일부,34,사단법인,평화디딤돌,정유성,"서울시 마포구 동교로 114, 301호",북한이탈주민․청소년교육 및 지원사업교육 및 연구사업,02-2677-8270,2004-03-11,창조행정담당관
중앙행정기관,통일부,36,사단법인,세계평화여성연합,김미은,"서울특별시 서대문구 통일로39길 48, 명현빌딩 2층 (홍제동)","통일관련사업
국내외 NGO간의연대활동",02-749-1497,2004-03-23,정책협력과
중앙행정기관,통일부,38,사단법인,범민족화합통일운동본부,이백철,"서울특별시 종로구 종로17길 47, 401호",민족화합과 남북평화통일운동사업,02-747-9611,2004-10-11,정책협력과
중앙행정기관,통일부,40,사단법인,좋은씨앗,박동찬,경기도 성남시 수정구 성남대로1518번길 11,".탈북자들이 한국사회에 쉽게 정착할 수 있도록 지원
.해외체류탈북자 여건개선",02-720-2422,2004-12-08,창조행정담당관
중앙행정기관,통일부,41,사단법인,평화통일단체총연합,설용수,"서울특별시 광진구 강변역로4길 68, 리젠트오피스텔 815호 (구의동)",".남북청소년교류 및 지도자 양성교육
.남북통일기반조성을 위한 국내외 학술 및 출판사업",02-456-1888,2004-12-28,사회문화교류과
중앙행정기관,통일부,42,,탈북청소년교육공동체셋넷학교,박상영,충청북도 충주시 노은면 원모롱이길 18-14(수룡리 467),북한청소년들의 남한사회 문화통합,033-763-2890,2005-02-19,정착지원과
중앙행정기관,통일부,43,사단법인,북한민주화네트워크,권은경,"서울특별시 영등포구 신길로 220, 1층(신길동)",북한민중의 인권실현,02-723-6711,2005-03-08,이산가족과
중앙행정기관,통일부,44,사단법인,겨레사랑복지협의회,황정길,"서울특별시 관악구 승방4길 20, 303호",민족분단의 고통해소 관계국과 상조증진,02-503-6666,2005-03-10,이산가족과
중앙행정기관,통일부,45,사단법인,(사)코리아통합연구원,최민수,"서울특별시 종로구 평창문화로 172, 101-1503(평창동 평창동삼성)",우리의 통일미래사회 환경조성에 이바지,02-3789-7577,2005-03-10,정세분석총괄과
